"EmployeeID","EmployeeName","JobTitle","Email","Phone","Manager"
"1","Kelly Rios","Data Engineer","kelly_rios@brlda.gov","001-464-621-0315","Tiffany Manning"
"2","Madison Barr","Statistician","madison_barr@brlda.gov","007-551-5025x728","Patricia Vasquez"
"3","Sue Anderson","Statistician","sue_anderson@brlda.gov","	+1-874-798-1290x183","Cameron Myers"
"4","Laura Carlson","Business Analyst","laura_carlson@brlda.gov","	+1-523-425-3999x87325","Joshua Pennington"
"5","Carrie Ali","Data Engineer","carrie_ali@brlda.gov","069.904.3573","John Shaw"
"6","Taylor Patterson","Data Engineer","taylor_patterson@brlda.gov","121-640-2442","Amy Daniels"
"7","Jessica Brown","Data Engineer","jessica_brown@brlda.gov","	+1-824-181-3208x97339","Stephen Kramer"
"8","Sergio Huffman","Statistician","sergio_huffman@brlda.gov","(705)779-5993x094","James Griffin"
"9","Robert Williams","Program Manager","robert_williams@brlda.gov","(838)366-5668x24267","John Williams"
"10","Susan Hanson","Project Manager","susan_hanson@brlda.gov","	+1-565-981-8992x39748","Michael Payne DDS"
"11","Crystal Miles","Data Scientist","crystal_miles@brlda.gov","001-291-316-1775x5996","Stephanie Johnson"
"12","Thomas Bishop","Data Analyst","thomas_bishop@brlda.gov","(473)197-2880x2969","Timothy Garrison"
"13","Holly Brennan","Data Engineer","holly_brennan@brlda.gov","287.918.0693x985","Samantha Bauer"
"14","Christopher Manning","Statistician","christopher_manning@brlda.gov","860-599-1399","Jesus Johnson"
"15","Richard Henderson","Data Scientist","richard_henderson@brlda.gov","903.373.1777x43484","Deborah Dudley"
"16","Brandon Ortega","Machine Learning Engineer","brandon_ortega@brlda.gov","001-463-490-8154x68217","Tyler Frazier"
"17","Eric Cooley","Quality Assurance Analyst","eric_cooley@brlda.gov","(199)773-5140x19473","Rose Baldwin"
"18","John Campbell","Data Analyst","john_campbell@brlda.gov","	+1-842-069-0827x2110","Travis Sanchez"
"19","Matthew Green","Scrum Master","matthew_green@brlda.gov","(844)600-1641","Jennifer Coleman"
"20","Anne Carter","Scrum Master","anne_carter@brlda.gov","001-884-187-9612x2888","Karen Morales"
"21","Janet Allen","Machine Learning Engineer","janet_allen@brlda.gov","654-820-0075","Calvin Peters"
"22","Julie Martinez","Data Scientist","julie_martinez@brlda.gov","(271)950-3689x332","Edward Singh"
"23","Tammy Martinez","Business Analyst","tammy_martinez@brlda.gov","627.729.0278x24859","Richard Hines"
"24","Troy Hicks","Machine Learning Engineer","troy_hicks@brlda.gov","(348)201-9395","Amanda Bradley"
"25","Jessica Henderson","Data Engineer","jessica_henderson@brlda.gov","085-637-1665","Jose Briggs"
"26","Elizabeth Anderson","Data Engineer","elizabeth_anderson@brlda.gov","001-668-694-8390x845","Pamela Hale"
"27","Sean Joseph","Data Analyst","sean_joseph@brlda.gov","001-195-128-1178x356","Samantha Shea"
